"provocation","sources"
"Histories of erasure and colonial extraction are present today in AI systems.","Small AI – text only.md: ""The Stories They Tell Us In this section I connect histories of erasure and colonial extraction to our present day, revealing how three mainstream stories told by big tech obscure the material and social impacts of AI systems."" | ""In this section, I use two case studies to explore how we might confront the erased histories of displacement, colonization, and environmental degradation embedded in AI systems: ◦ The Pines of Kodaikanal explores how communities grapple with landscapes scarred by displacement."" | ""New Frontier One AI story often told today is that we're heading into a “new frontier.” This narrative is rooted in extractivism and universalism – logics that can be traced directly back to colonial times."""
"""Frontier"" narratives position AI as an enexplored, boundless territory ripe for conquest","Small AI – text only.md: ""Just as colonial landscape paintings present land as empty spaces, ripe for conquest, mainstream AI narratives abstract and erase the social, cultural, and environmental contexts in which data is collected and systems are deployed. This frontier language sustains an unrelenting pursuit of growth and expansion with little regard for ethical, social, or environmental consequences."" | ""Much like colonial powers framed the ""New World"" as a frontier to conquer, AI is portrayed as the next technological frontier to exploit. Take note when you see people using “frontier” language to refer to foundational AI models."" | ""The idea of the Earth as a vast, empty frontier, ready to be divided and claimed, has seen many iterations since—and continues to shape how we talk about innovation. AI is no exception."""
"""Cloud"" narratives mystifies AI and digital technologies as immaterial, inconsequential to the natural world.","Small AI – text only.md: ""Much like landscape paintings framed territories as untouched and uninhabited, the cloud narrative erases the resource extraction, labor, and politics of territorial control involved in building and maintaining digital technologies."" | ""In the Cloud Another story that obscures the material realities of AI is the so-called cloud. Big tech tells us our phones, laptops, watches are smart, wireless objects—symbols of progress untethered from the Earth. In truth, these technologies are bound by and to physical infrastructure, as authors like Kate Crawford, James Bridle (https://uk.bookshop.org/a/15206/9780141994260) and Nicole Starosielski have shown."" | ""Technology is often perceived as separate from the natural world, yet it is deeply ""attached"". By shifting our perspective, we can begin to see geography and geographical events not only as spaces for political strategy or economic competition but as the Earth itself speaking to us. Building data centers in drought-stricken regions or continuing extractive practices in fragile ecosystems demonstrates the profound disconnect the cloud narrative allows and perpetuates."""
"""General Intelligence"" reinforces systems of centralised control and power","Small AI – text only.md: ""• “Mini-festo”: Hibernation is to Die For envisions a seasonal approach to AI, aligning these systems with the rhythms of nature. • • General Intelligence: General Intelligence highlights how the myth of general intelligence centralizes power and reinforces dominant systems of control. • FRUITING BODIES: Fruiting Bodies questions the narrative that AI must scale infinitely or aim for general intelligence."" | ""The myth of general intelligence limits our imagination of what AI can be."" | ""It encourages reflexive thinking to reimagine the possibilities of AI systems—not as instruments of industrialized general intelligence, but as tools that serve people and celebrate local wisdom. This approach fundamentally shifts how we view data: not as raw material to extract, but as something organic to nurture—more like a garden than a mine."""
"AI is not a singular intelligent entity; it's an ecosystem of people, machines, and places","Small AI – text only.md: ""AI is not a singular intelligent entity; it’s an ecosystem of people, machines, and places. Much of my work has been on unveiling this reality: The human hands and the very real, very finite natural resources behind AI systems."" | ""When it comes to AI, an awareness of place can help us think about AI differently in two key ways: ONE. It serves as a reminder that intelligence isn’t universal or placeless. Intelligence is contextual, specific, and subjective."" | ""The subsections—Placefulness, Moving with Nature, and Fruiting Bodies—invite you to see AI not as a disembodied force “in the cloud” but as deeply interconnected with land and the people who live there. They reveal how the same technology can take many forms – localized, contextual, and responsive to the environments that sustain them."""
"Instead of pouring trillions into speculative futures that may never materialise we should double down on what AI already does well to solve problems facing people today.","Small AI – text only.md: ""Instead of pouring trillions into speculative futures that may never materialize, we should double down on what AI already does well to address real-life problems people face today. We need AI that serves humanity now, not a hypothetical superintelligence that may or may not ever be real. Yet, investors continue funding the AI hype cycle. The gap between marketing promises and technical reality grows wider. We celebrate potential while ignoring the limitations behind AI's polished image."" | ""Introduction AI has a killer brand. We're sold a sleek narrative about AI. It's supposedly seamless, nimble, and capable of superhuman thought. The reality? We're nowhere close to this vision. AGI remains a distant dream. What can today's AI actually do well? It excels at pattern recognition in structured data. Medical imaging analysis spots tumors with impressive accuracy. Language models generate good-enough translations between languages."" | ""What could we make with AI if scale wasn’t an objective?"""
"The frontier narrative was – and remains – a colonial strategy to justify exploiting, erasing, pillaging, and violenty re-making the world.","Small AI – text only.md: ""But the notion of the frontier was a lie. This narrative was, and remains, a colonial strategy—a justification for exploiting, erasuring, pillaging, and violently remaking the world. In the late Ottoman era, British rule, and the early Israeli state, settlers and rulers managed animal and agricultural production to assert control over both land and people, presenting it as an effort to “salvage the land.” (https://uk.bookshop.org/a/15206/9780262039079)"" | ""In North America, colonial settlers adopted this ethos through the idea of Manifest Destiny—a belief that justified the westward expansion of settlers, the destruction of anything and anyone in their path. It was their Destiny to remake the land to, in Sir Francis Bacon’s words, their convenience, erasing Indigenous cultures along the way."" | ""Just as colonial landscape paintings present land as empty spaces, ripe for conquest, mainstream AI narratives abstract and erase the social, cultural, and environmental contexts in which data is collected and systems are deployed. This frontier language sustains an unrelenting pursuit of growth and expansion with little regard for ethical, social, or environmental consequences."""
"Enframing or ""Gestell"" refers to the way modern technology frames the world as nothing more than a standing-reserve (or ""Bestand"") of resources to be optimised, ordered, and exploited. This mindset reduces everything –including nature and people – to resources or inventory waiting to be utilised.","Small AI – text only.md: ""Enframing refers to the way modern technology frames the world as nothing more than a standing-reserve (or Bestand) of resources to be optimized, ordered, and exploited. This technological mindset reduces everything, including nature and humans, to mere resources or inventory waiting to be utilized. Read more here."" | ""Captions Heidegger is a 19th century German philosopher, who developed the idea of “enframing” (or Gestell) as a central concept in his critique of modern technology."" | ""In 1620, Sir Francis Bacon published Novum Organum, declaring that nature existed solely for human convenience (what Heidegger calls “enframing”). This ethos found visual expression in the landscape paintings of the time: wide-open frontiers of boundless land, empty of communities, ecosystems, and ecologies, waiting to be explored, exploited, and made into man’s image and desire."""
"Anyone who believes exponetial growth and go on forever in a finite world is either a madman or an economist.   Kenneth E. Boulding (1910–1933), American Economist","Small AI – text only.md: ""“Anyone who believes exponential growth can go on forever in a finite world is either a madman or an economist.” Kenneth E. Boulding (1910-1993), American Economist"" | ""———"" | ""——"""
"Frontier landscape paintings framed territories as untouched and uninhabited. The cloud narrative erases the resource extraction, labor, and politics of territorial control involved in building and maintaining digital technologies.","Small AI – text only.md: ""Much like landscape paintings framed territories as untouched and uninhabited, the cloud narrative erases the resource extraction, labor, and politics of territorial control involved in building and maintaining digital technologies."" | ""Just as colonial landscape paintings present land as empty spaces, ripe for conquest, mainstream AI narratives abstract and erase the social, cultural, and environmental contexts in which data is collected and systems are deployed. This frontier language sustains an unrelenting pursuit of growth and expansion with little regard for ethical, social, or environmental consequences."" | ""Technology is often perceived as separate from the natural world, yet it is deeply ""attached"". By shifting our perspective, we can begin to see geography and geographical events not only as spaces for political strategy or economic competition but as the Earth itself speaking to us. Building data centers in drought-stricken regions or continuing extractive practices in fragile ecosystems demonstrates the profound disconnect the cloud narrative allows and perpetuates."""
"Why are people asked to limit their basic water usage while water-intensive AI projects proveed unchecked?","Small AI – text only.md: ""Why are people asked to limit their basic water usage while water-intensive AI projects proceed unchecked?"" | ""Now, as we’ve seen already, data centers are infamous for their enormous water consumption to cool down servers. This raises troubling questions about the double standards between citizens and corporations during a climate emergency."" | ""Moreover, AI’s physical infrastructure continues to require our limited natural resources to sustain itself. Miranda Gabott’s research on the construction of new data centers in Catalunya—one of Spain’s driest regions—reveals this clearly. In 2023, Barcelona, the capital of Catalunya, faced one of its most severe droughts. This led authorities to limit each of its 6 million residents to 200 liters of water per day."""
"The cloud is a narrative device, a symbol or maybe a dream. Let's change it.","Small AI – text only.md: ""The cloud is a narrative device, a symbol, or maybe a dream. Let’s change it."" | ""The cloud isn’t a cloud at all. It's an underground network of people, resources, cables, and wires tirelessly working to make work like magic. Our collective ignorance about this physical infrastructure is no accident. It is shaped by a deliberate strategy of ‘security through obscurity’ —the idea that the public cannot disrupt or contest what they do not know exists."" | ""Technology is often perceived as separate from the natural world, yet it is deeply ""attached"". By shifting our perspective, we can begin to see geography and geographical events not only as spaces for political strategy or economic competition but as the Earth itself speaking to us. Building data centers in drought-stricken regions or continuing extractive practices in fragile ecosystems demonstrates the profound disconnect the cloud narrative allows and perpetuates."""
"The cloud isn't a cloud at all. It's an underground network of people, resources, cables, and datacenters tirelessly working to make the internet work like ""magic.""","Small AI – text only.md: ""The cloud isn’t a cloud at all. It's an underground network of people, resources, cables, and wires tirelessly working to make work like magic. Our collective ignorance about this physical infrastructure is no accident. It is shaped by a deliberate strategy of ‘security through obscurity’ —the idea that the public cannot disrupt or contest what they do not know exists."" | ""These cables, hidden away from public view, reveal the limits of wireless technology and ground the cloud in a physical, material reality. These cables do not just cross oceans; they retrace colonial routes. Early telegraph networks were mapped over old shipping routes, and many contemporary fiber optic cables still follow these same paths."" | ""Much like landscape paintings framed territories as untouched and uninhabited, the cloud narrative erases the resource extraction, labor, and politics of territorial control involved in building and maintaining digital technologies."""
"New frontier narratives about AI are rooted in extractivism and universalism.","Small AI – text only.md: ""New Frontier One AI story often told today is that we're heading into a “new frontier.” This narrative is rooted in extractivism and universalism – logics that can be traced directly back to colonial times."" | ""Just as colonial landscape paintings present land as empty spaces, ripe for conquest, mainstream AI narratives abstract and erase the social, cultural, and environmental contexts in which data is collected and systems are deployed. This frontier language sustains an unrelenting pursuit of growth and expansion with little regard for ethical, social, or environmental consequences."" | ""Much like colonial powers framed the ""New World"" as a frontier to conquer, AI is portrayed as the next technological frontier to exploit. Take note when you see people using “frontier” language to refer to foundational AI models."""
"The idea of the Earth as a vast, empty frontier, ready to be divided and claimed has a long history. It continues to shape how we talk about innovation. AI is no exception.","Small AI – text only.md: ""The idea of the Earth as a vast, empty frontier, ready to be divided and claimed, has seen many iterations since—and continues to shape how we talk about innovation. AI is no exception."" | ""Just as colonial landscape paintings present land as empty spaces, ripe for conquest, mainstream AI narratives abstract and erase the social, cultural, and environmental contexts in which data is collected and systems are deployed. This frontier language sustains an unrelenting pursuit of growth and expansion with little regard for ethical, social, or environmental consequences."" | ""Much like colonial powers framed the ""New World"" as a frontier to conquer, AI is portrayed as the next technological frontier to exploit. Take note when you see people using “frontier” language to refer to foundational AI models."""
"Just as colonial landscape paintings present land as empty spaces, ripe for conquest, mainstream AI narratives abstract and erase the social, cultural, and environmental contexts in which data is collected and systems are deployed.","Small AI – text only.md: ""Just as colonial landscape paintings present land as empty spaces, ripe for conquest, mainstream AI narratives abstract and erase the social, cultural, and environmental contexts in which data is collected and systems are deployed. This frontier language sustains an unrelenting pursuit of growth and expansion with little regard for ethical, social, or environmental consequences."" | ""Much like landscape paintings framed territories as untouched and uninhabited, the cloud narrative erases the resource extraction, labor, and politics of territorial control involved in building and maintaining digital technologies."" | ""The Eurocentric narrative of man versus nature—conquering the frontier, mastering the elements, and remaking the world—was never sustainable. It is at its breaking point. What wasn't viable then is even less so now. AI becomes a territory to be conquered—one where companies and nations race to claim dominance, paying little attention to the harms caused by this unrestrained ambition."""
"Artificial General Intelligence is another yet narrative shaping AI development.","Small AI – text only.md: ""Artificial General Intelligence (AGI) A hypothetical type of AI that could match or surpass human cognitive capabilities across a wide range of cognitive tasks. Although presently theoretical, AGI envisions AI that can navigate real-world complexities like humans rather than excelling only at specific tasks."" | ""In the Cloud The branding of AGI reveals still another myth shaping AI development: the idea that intelligence can and should be universal, detached from specific contexts and communities. Yet, when we examine how knowledge functions in various societies, we see that intelligence is rarely about universal capability, but rather about deep understanding of specific domains and contexts."" | ""The myth of general intelligence limits our imagination of what AI can be."""
"Intelligence is rarely  universal , but rather very specific in domain and local context.","Small AI – text only.md: ""This isn't about different forms of intelligence; it’s about understanding that subjectivity and specificity are integral to human culture—not outliers to normalize. Instead of striving for a single, one-size-fits-all system that tries to be everything to everyone, we can develop technologies that embrace subjectivity and placefulness. These systems would serve specific communities and environments while honoring the plurality of human experience."" | ""When it comes to AI, an awareness of place can help us think about AI differently in two key ways: ONE. It serves as a reminder that intelligence isn’t universal or placeless. Intelligence is contextual, specific, and subjective."" | ""In the Cloud The branding of AGI reveals still another myth shaping AI development: the idea that intelligence can and should be universal, detached from specific contexts and communities. Yet, when we examine how knowledge functions in various societies, we see that intelligence is rarely about universal capability, but rather about deep understanding of specific domains and contexts."""
"universalism determines which problems are seen as worth solving, whose knowledge is considered valid, and who gets to participate in shaping technology.","Small AI – text only.md: ""Universalism determines which problems are seen as worth solving, whose knowledge is considered valid, and who gets to participate in shaping technology."" | ""universalism The assumption that Western values, knowledge systems, and technological approaches are inherently superior and should be applied globally without considering local contexts, needs, or wisdom."" | ""And when this standardisation happens under the misleading banner of ""universality,"" it becomes a form of technological colonisation that re-enforces Western norms while silently erases the norms of others."""
"The myth of general artificial intelligence limits our imaginations of what AI can be.","Small AI – text only.md: ""The myth of general intelligence limits our imagination of what AI can be."" | ""In the Cloud The branding of AGI reveals still another myth shaping AI development: the idea that intelligence can and should be universal, detached from specific contexts and communities. Yet, when we examine how knowledge functions in various societies, we see that intelligence is rarely about universal capability, but rather about deep understanding of specific domains and contexts."" | ""This isn't about different forms of intelligence; it’s about understanding that subjectivity and specificity are integral to human culture—not outliers to normalize. Instead of striving for a single, one-size-fits-all system that tries to be everything to everyone, we can develop technologies that embrace subjectivity and placefulness. These systems would serve specific communities and environments while honoring the plurality of human experience."""
"There is a push for generality in machine learning, I'm totally against that: we have to work context by context, community by community.","Small AI – text only.md: ""‘There is a push for generality in machine learning, I’m totally against that: we have to work context by context, community by community.’ Timnit Gebru, ex-Google computer scientist now spearheading the Decentralized AI Research Institute (DAIR)"" | ""A model trained on and for a particular community's needs will likely serve that community better than a massive general-purpose system trained on internet-scale data. This isn't about the model being “smaller” or less capable—it's about being more relevant and attuned to real people’s local needs."" | ""For example, when communities build and train their own systems for their specific contexts, they often achieve more meaningful and effective results than general-purpose systems. While large language models (LLMs) may use broad content filters that inadvertently silence marginalized voices—similar to shadow-banning on social media platforms—community-governed systems can create more nuanced approaches to content moderation strategies that reflect local values and needs."""
"AI and the American Smile","Small AI – text only.md: ""The American Smile In the article ""AI and the American Smile"", author Jenka Gurfinkel exposes how image generators and broader AI systems unconsciously encode and perpetuate American cultural norms, revealing the invisible Western bias embedded in these supposed ""global"" or “universal” technologies."" | ""When reddit user @_m0us316_ prompted Midjourney to generate group selfies of people from different historic eras, it generated images that photo with a peculiar quirk – wide, toothy, and distinctly American grins."" | ""As a result, specific cultural expressions—like the ""American smile""—become encoded as the default ""normal"" standard, while others are sidelined."""
"AI encodes norms found in its training data – like the American Smile – as a universal norm, universal standard","Small AI – text only.md: ""As a result, specific cultural expressions—like the ""American smile""—become encoded as the default ""normal"" standard, while others are sidelined."" | ""The American Smile In the article ""AI and the American Smile"", author Jenka Gurfinkel exposes how image generators and broader AI systems unconsciously encode and perpetuate American cultural norms, revealing the invisible Western bias embedded in these supposed ""global"" or “universal” technologies."" | ""When reddit user @_m0us316_ prompted Midjourney to generate group selfies of people from different historic eras, it generated images that photo with a peculiar quirk – wide, toothy, and distinctly American grins."""
"Placefulness allows us to move beyond the reductive map that typically depict AI infrastructure and instead envision maps that are more just, sustainable, and life-affirming","Small AI – text only.md: ""TWO Placefulness allows us to move beyond the reductive maps that typically depict AI infrastructure and, instead, envision maps that are more just, sustainable, and life-affirming. Maps depicting AI infrastructure tend to portray entire regions as mere sources of raw materials, stripped of their cultural, historical, and ecological contexts."" | ""Placefulness reminds us that design is never void of bias or cultural positioning—it is always shaped by the cultures, histories, and values we choose to embed within it. Small AI is small because it is not about wholesale narratives—instead about moving into a future with plural of ways of designing and bringing AI into fruition."" | ""An awareness of place can help us foreground the stories, struggles, and migrations that define the places where AI is built. When we see our cultures, technologies, and systems as shaped by continuous movement and exchange, we open ourselves to designing with care and responsibility. Placefulness is about embracing the interconnectedness of our histories and acknowledging that we already know how to incorporate the unfamiliar into our lives."""
"Placefulness reminds us that AI isn't universal or placeless. (Artificial) Intelligence must be contextual, specific, and subjective.","Small AI – text only.md: ""When it comes to AI, an awareness of place can help us think about AI differently in two key ways: ONE. It serves as a reminder that intelligence isn’t universal or placeless. Intelligence is contextual, specific, and subjective."" | ""Placefulness reminds us that design is never void of bias or cultural positioning—it is always shaped by the cultures, histories, and values we choose to embed within it. Small AI is small because it is not about wholesale narratives—instead about moving into a future with plural of ways of designing and bringing AI into fruition."" | ""This isn't about different forms of intelligence; it’s about understanding that subjectivity and specificity are integral to human culture—not outliers to normalize. Instead of striving for a single, one-size-fits-all system that tries to be everything to everyone, we can develop technologies that embrace subjectivity and placefulness. These systems would serve specific communities and environments while honoring the plurality of human experience."""
"Small AI – it might be janky, but it's yours.","Small AI – text only.md: ""Small AI"" | ""Want to try building your own Small AI? On the next page, check out Gabriella Garcia and Arnab Chakravarty’s Project D33pthr0at, a tutorial on How-to: Make Your Own Small AI."" | ""This reflects a crucial insight: sometimes the most meaningful contribution isn't a finished product but a documented journey that makes both the ethical questions and technical possibilities of Small AI accessible to those who need it most."""
"Antifragile is a property of systems that grow stronger and more capable when exposed to stressors, shocks, volatility, noise, mistakes, or failures.   Nassim Nicholas Taleb, 2012","Small AI – text only.md: ""Definitions Antifragile A property of systems that grow stronger and more capable when exposed to stressors, shocks, volatility, noise, mistakes, or failures. Coined by Nassim Nicholas Taleb in Antifragile (2012), the concept differs from resilience (the ability to recover from failure) and robustness (the ability to resist failure)."" | ""Since then, antifragility has been applied in high-risk fields such as physics, molecular biology, transportation planning, aerospace (NASA), and computer science."" | ""Technology designed with nature as a central consideration can break free from the extractive and destructive tendencies of big tech. It opens space for systems that respond to environmental realities, respect diverse ecologies, and prioritize sustainability and justice over profit and control. Moving with nature is a call to create systems that are not only innovative but also regenerative, antifragile."""
"Placefuless offers an alternative to the frontier narrative.","Small AI – text only.md: ""New frontier: New Frontier shows how the same narrative that erased Indigenous cultures during and in post-colonialism now frames AI as an unexplored, boundless territory ripe for conquest. • Placefulness: Placefulness challenges the frontier narrative."" | ""Placefulness Placefulness offers an alternative to the frontier narrative of mainstream AI—that globalized vision disconnected from the realities of land and peoples, we discussed at the beginning of this chapter. Grounded firmly in place, this counter-narrative urges us to confront the histories of displacement, colonization, and environmental degradation."" | ""But the notion of the frontier was a lie. This narrative was, and remains, a colonial strategy—a justification for exploiting, erasuring, pillaging, and violently remaking the world. In the late Ottoman era, British rule, and the early Israeli state, settlers and rulers managed animal and agricultural production to assert control over both land and people, presenting it as an effort to “salvage the land.” (https://uk.bookshop.org/a/15206/9780262039079)"""
"Against the placelessness of an optimised life spent online, I want to argue for a new ""placefulness"" that yields sensitivity and responsbility to the historical (what happened here) and the ecological (who and what lives, or lived, here).""  Jenny Odell, 2019, How to Do Nothing: Resisting the Attention Economy","Small AI – text only.md: ""‘Against the placelessness of an optimised life spent online, I want to argue for a new “placefulness” that yields sensitivity and responsibility to the historical (what happened here) and the ecological (who and what lives, or lived, here).’ How to Do Nothing: Resisting the Attention Economy, Odell, 2019"" | ""It draws inspiration from Jenny Odell’s call for sensitivity to the historical and ecological aspects of place in her book How to Do Nothing: Resisting the Attention Economy, amid continued digitalization and globalization:"" | ""But how do we cope with, contest, or move within and beyond these layered legacies? How do we engage with landscapes shaped by histories of displacement, colonization, caste supremacy, wars, plagues, and migrations? Inspired by Richa Kaul Padte’s article The Power of ‘Placefulness’: The Pines of Kodaikanal, here I explore how placefulness offers a lens for reconciling with places imbued with complex and often violent pasts—and how this perspective can inform our use of technologies like AI."""
"Moving with nature offers an alternative to the mainstream narratives of AI existing in the cloud.","Small AI – text only.md: ""Moving with Nature Moving with nature offers an alternative to the mainstream narrative of AI existing in the cloud—floating above oceans and continents, detached from the material world. This counter-vision emphasizes the profound interconnectedness of all things, inviting us to ground AI design in the ecologies that make it possible and recognize it as tied to geography, resources, and the living systems it relies on."" | ""• Moving with Nature: This section challenges the cloud narrative, urging us to ground AI design in the ecologies and materials tied to its production. I introduce two case studies: ◦ The Mising Tribe explores how fluidity and movement foster resilience, emphasizing the importance of understanding AI as interconnected with all other human and nonhuman entities in its ecosystem."" | ""Technology designed with nature as a central consideration can break free from the extractive and destructive tendencies of big tech. It opens space for systems that respond to environmental realities, respect diverse ecologies, and prioritize sustainability and justice over profit and control. Moving with nature is a call to create systems that are not only innovative but also regenerative, antifragile."""
